velocity,cot
0.598587,1.413048
0.634961,1.018737
0.721189,0.803980
0.765079,0.785011
0.831904,0.708512
0.890738,0.609811
0.952736,0.426652
1.008648,0.375667
1.061974,0.436580
1.122781,0.424225
1.181948,0.414988
1.244781,0.407784
1.306648,0.392578
1.367569,0.381771
1.428318,0.505458
1.484567,0.492655
1.541114,0.484361
1.600665,0.473076
1.661929,0.463237
1.722232,0.478205
1.782660,0.439772
1.821817,0.417834
1.877892,0.415516
1.946385,0.414602
2.008880,0.406988
2.070468,0.405204
2.125552,0.410627
2.188829,0.394836
2.246401,0.392261
2.299555,0.383055
2.351313,0.379127
2.386004,0.371981
2.437425,0.386650
2.499896,0.384183
2.578448,0.362437
2.649226,0.382808
2.726626,0.398595
2.818583,0.350675
2.890315,0.327485
2.948722,0.333798
2.997947,0.321330
3.063300,0.347626
3.113615,0.338224
3.157767,0.341004
3.192222,0.350504
3.244812,0.361211
3.309450,0.345147
3.374961,0.339855
3.400879,0.363129
3.438952,0.366384
3.486341,0.376892
3.522420,0.364157
3.546612,0.358440
3.544567,0.378950
3.555731,0.367780
3.563940,0.367967
3.581766,0.345545
3.585651,0.339175
3.590680,0.344693
3.589526,0.344696
3.582839,0.354328
3.579781,0.359879
3.503435,0.397763
3.442183,0.344853
3.380961,0.381213
3.388862,0.384776
3.385523,0.398523
3.421935,0.384445
3.468116,0.424468
3.512773,0.366849
3.515876,0.346971
3.516688,0.349040
3.531937,0.349720
3.540333,0.356239
3.551172,0.344256
3.552969,0.350183
3.564142,0.353998
3.581588,0.350602
3.581158,0.344423
