velocity,cot
1.276637,1.216935
1.688227,1.923073
1.016870,0.218326
0.867063,0.318235
0.954940,0.262895
1.015267,0.250262
1.076387,0.246271
1.137274,0.274724
1.198587,0.250516
1.259312,0.258791
1.319564,0.418097
1.377957,0.402880
1.437469,0.402419
1.498345,0.406630
1.560036,0.415060
1.621208,0.416967
1.683490,0.427304
1.746126,0.424270
1.808985,0.426612
1.870438,0.419653
1.932531,0.414812
1.995228,0.409225
2.057165,0.406286
2.119074,0.399769
2.180047,0.400341
2.239303,0.400054
2.297944,0.399862
2.354947,0.400350
2.406541,0.400535
2.458175,0.397386
2.510507,0.395756
2.562770,0.393367
2.609529,0.385420
2.655745,0.398436
2.704873,0.325165
2.721722,0.347903
2.705400,0.311893
2.775591,0.359313
2.815740,0.346154
2.887813,0.385410
2.914671,0.359652
2.990298,0.388847
3.026320,0.377890
3.108268,0.425453
3.121768,0.370717
3.194698,0.426693
3.220492,0.443874
3.273483,0.416731
3.317782,0.431515
3.346413,0.465629
3.355261,0.409408
3.341922,0.486180
3.335051,0.458430
3.366726,0.426585
3.360909,0.486073
3.302848,0.456357
3.328216,0.426973
3.357111,0.452512
3.373317,0.443346
3.376885,0.404421
3.368653,0.462931
3.330711,0.465044
3.352437,0.471679
3.382294,0.418148
3.372575,0.424914
3.361809,0.452485
3.304815,0.456844
3.336292,0.435231
