velocity,cot
1.192404,1.042334
0.892340,1.818477
0.868141,0.697357
0.946824,0.659433
1.015624,0.633186
1.077713,0.599072
1.137095,0.572167
1.195511,0.557378
1.251578,0.544348
1.304255,0.481207
1.349334,0.531533
1.387126,0.509030
1.418313,0.439562
1.442081,0.485754
1.447602,0.455839
1.493441,0.511369
1.457199,0.423890
1.513724,0.472783
1.376463,0.328278
1.449352,0.435298
1.493251,0.505609
1.644171,0.846039
1.865975,0.383523
2.019127,0.262004
1.925712,0.322814
1.939918,0.386148
1.956139,0.512428
2.060444,0.629182
2.217135,0.503280
2.404701,0.562510
2.569980,0.370937
2.626029,0.396660
2.738544,0.345831
2.761640,0.368414
2.832950,0.327712
2.882719,0.334610
2.930668,0.347825
2.987464,0.339499
3.043383,0.350717
3.086110,0.343870
3.132428,0.356697
3.179850,0.360054
3.227677,0.392796
3.281339,0.383619
3.341067,0.388985
3.405273,0.404634
3.444132,0.391837
3.479792,0.401126
3.506678,0.375117
3.563832,0.386767
3.560946,0.428350
3.575537,0.400009
3.571304,0.376873
3.560400,0.389111
3.550521,0.403931
3.563212,0.412878
3.584771,0.414492
3.580129,0.379591
3.565417,0.389686
3.558550,0.402069
3.571877,0.404238
3.583473,0.409794
