velocity,cot
0.541074,1.248961
0.671002,0.828923
0.693740,0.665296
0.760632,0.710495
0.824177,0.667408
0.887338,0.671049
0.952515,0.593294
1.010990,0.563642
1.074353,0.391990
1.134439,0.403563
1.193616,0.396239
1.255754,0.391684
1.316308,0.389300
1.378670,0.381625
1.440105,0.384483
1.499639,0.375781
1.559417,0.379290
1.620197,0.369541
1.679401,0.365682
1.738933,0.358499
1.799728,0.354319
1.859610,0.348902
1.917784,0.350174
1.977951,0.358763
2.039607,0.360662
2.101625,0.362008
2.160352,0.364966
2.216259,0.366634
2.273390,0.373329
2.330886,0.358528
2.382356,0.341196
2.432102,0.341917
2.477412,0.361246
2.537709,0.349660
2.590951,0.383670
2.660063,0.381996
2.746901,0.396646
2.819281,0.419558
2.888271,0.375452
2.969272,0.396425
3.040644,0.430800
3.120302,0.405516
3.196873,0.402776
3.267694,0.396530
3.333803,0.408128
3.385606,0.402952
3.430408,0.427499
3.455895,0.462844
3.497068,0.462642
3.546269,0.450028
3.566701,0.492206
3.558146,0.508265
3.558266,0.478064
3.569552,0.468233
3.568146,0.485171
3.565500,0.489422
3.559926,0.489815
3.559156,0.501423
3.556990,0.498219
3.556446,0.497853
3.554926,0.497555
3.553517,0.498426
3.550521,0.506946
3.537448,0.515829
3.509014,0.499156
3.484438,0.499268
3.487347,0.532853
3.517987,0.537244
3.559627,0.517823
3.575506,0.504675
3.581937,0.528823
3.577174,0.522582
3.572478,0.532570
3.569736,0.522746
3.563380,0.534054
3.556552,0.539806
3.568100,0.528158
3.575254,0.516154
3.574067,0.545121
