velocity,cot
0.810709,0.858697
0.830052,0.651990
0.812202,0.648099
0.866404,0.529256
0.952983,0.512882
1.009469,0.571825
1.033270,0.583668
1.087053,0.498618
1.127527,0.530308
1.231088,0.515420
1.276213,0.517733
1.343858,0.477452
1.381791,0.451978
1.481614,0.407637
1.501109,0.488382
1.585944,0.374786
1.651067,0.328157
1.684905,0.462676
1.753684,0.354078
1.806801,0.415238
1.839753,0.390425
1.899710,0.391324
1.852372,0.407779
1.886309,0.398843
1.916748,0.493910
1.892211,0.382779
1.916873,0.533040
2.010896,0.402322
2.043628,0.657304
2.194328,0.564114
2.371763,0.529704
2.460613,0.651042
2.485185,0.413646
2.546395,0.577009
2.628805,0.528580
2.641875,0.563570
2.729709,0.523020
2.805567,0.544028
2.838446,0.538942
2.937753,0.480152
2.982352,0.431925
3.027562,0.432906
3.073153,0.439431
3.130144,0.436888
3.172646,0.448361
3.202311,0.449195
3.235113,0.433324
3.190275,0.384870
3.200644,0.368759
3.196433,0.351348
3.142822,0.311506
3.163956,0.336219
3.212100,0.368695
3.143023,0.276310
3.148908,0.360284
3.214389,0.355667
3.147832,0.288096
3.155453,0.336114
3.221856,0.375470
3.144844,0.292206
3.153031,0.348253
3.216791,0.366706
3.202666,0.388067
3.103939,0.318239
3.169420,0.419352
3.233497,0.406292
3.141649,0.309768
3.166623,0.472074
3.235095,0.420554
3.102527,0.390985
3.141203,0.481224
3.208006,0.416989
3.208710,0.460404
3.070225,0.392127
3.177475,0.437820
3.167281,0.433575
3.136473,0.474067
3.214109,0.434464
3.186663,0.416212
