velocity,cot
1.185681,1.035720
1.259563,0.959291
0.557138,0.985016
0.763451,0.453455
0.851235,0.470896
0.931494,0.485309
0.996932,0.462276
1.060073,0.466211
1.122393,0.456300
1.189127,0.444632
1.254277,0.434977
1.315565,0.416018
1.380710,0.407666
1.449068,0.392181
1.517287,0.380151
1.582727,0.370922
1.643471,0.353852
1.710549,0.366882
1.770441,0.340338
1.830136,0.337758
1.888299,0.331725
1.946183,0.328436
1.998491,0.326889
2.039597,0.332198
2.100914,0.335150
2.142212,0.325734
2.195633,0.322665
2.246911,0.319283
2.308142,0.325462
2.378683,0.318233
2.446226,0.307406
2.509193,0.298780
2.570400,0.305613
2.629237,0.308364
2.689450,0.312872
2.741946,0.352814
2.814477,0.358119
2.881383,0.368450
2.944974,0.368719
3.012189,0.387898
3.064774,0.469744
3.120450,0.478629
3.167862,0.479479
3.225484,0.482668
3.286155,0.483308
3.330427,0.479077
3.369051,0.466234
3.410929,0.471161
3.460871,0.458674
3.502625,0.468539
3.544697,0.450083
3.573820,0.456050
3.579493,0.460954
3.580511,0.472146
3.582579,0.470000
3.582362,0.476745
3.582482,0.476178
3.583811,0.478757
3.584145,0.479604
3.584528,0.478769
3.584669,0.483193
3.584223,0.483112
3.582438,0.483813
3.582306,0.485486
3.582953,0.486484
3.582365,0.484527
3.579348,0.479020
3.574692,0.493017
3.575059,0.486591
3.570090,0.487075
3.566473,0.490598
3.568265,0.501675
3.580595,0.482025
3.582927,0.478274
3.583863,0.478910
3.583302,0.477348
3.581346,0.481806
3.580374,0.481165
3.579992,0.480562
