velocity,cot
0.476886,1.333356
0.592155,0.619020
0.718123,0.616657
0.782772,0.643253
0.838558,0.656048
0.898256,0.671375
0.953608,0.651353
1.009628,0.613727
1.068297,0.479267
1.128054,0.479917
1.198044,0.452952
1.259859,0.455202
1.320801,0.452533
1.385806,0.440872
1.448518,0.432038
1.511098,0.442968
1.571565,0.546161
1.622434,0.589777
1.678978,0.592635
1.741291,0.587748
1.803291,0.581645
1.864696,0.578111
1.925469,0.563618
1.985854,0.562976
2.046401,0.560722
2.109679,0.556213
2.170917,0.561326
2.234862,0.551037
2.285918,0.496986
2.327099,0.495588
2.390641,0.471097
2.450262,0.472595
2.523808,0.451010
2.574194,0.446143
2.614741,0.453642
2.668580,0.448839
2.735075,0.457600
2.803499,0.473556
2.874859,0.393691
2.914260,0.343671
2.966195,0.341074
3.052325,0.368323
3.130346,0.342531
3.189107,0.354726
3.234303,0.348354
3.278900,0.345955
3.327208,0.340452
3.357039,0.357644
3.408122,0.347519
3.453529,0.338446
3.487243,0.374391
