velocity,cot
0.913228,0.845999
1.152762,1.025799
1.176390,0.923887
1.273865,0.865962
1.205541,0.898749
1.178933,0.958230
1.197392,0.852142
1.210147,0.755718
1.207618,0.826210
1.198597,0.823093
1.207413,0.761867
1.212893,1.047557
1.127228,1.143591
1.236607,0.714179
1.318745,0.854157
1.319955,0.707379
1.342812,0.573579
1.321069,0.771768
1.343594,0.856247
1.319793,0.852105
1.323593,0.768250
1.396027,0.763131
1.405281,0.768080
1.307303,0.843581
1.436541,0.609647
1.460789,0.765502
1.396335,0.902428
1.534173,0.626002
1.519009,0.698529
1.564838,0.572968
1.537186,0.748864
1.585761,0.611750
1.575475,0.699546
1.613191,0.508516
1.603832,0.648192
1.596448,0.728548
1.654185,0.702591
1.677435,0.666275
1.686230,0.700627
1.716292,0.686780
1.678769,0.687627
1.750284,0.526462
1.703831,0.675224
1.775347,0.510872
1.773077,0.596762
1.796172,0.507168
1.750034,0.772818
1.856622,0.445302
1.818124,0.576528
1.914927,0.541971
1.829698,0.591544
1.940779,0.495351
1.911120,0.568171
1.947991,0.570884
1.943542,0.616740
1.994346,0.531158
1.906700,0.589306
2.016694,0.444802
1.954891,0.611744
2.037236,0.484066
1.962878,0.592455
2.089181,0.475867
2.046380,0.591119
2.096080,0.471199
2.127767,0.638320
2.106549,0.548438
2.103444,0.595095
2.157727,0.485293
2.110892,0.605190
2.215548,0.516555
2.105802,0.614879
2.262313,0.405488
2.233667,0.487166
2.263206,0.535461
2.224641,0.472003
2.306150,0.508059
2.282144,0.577669
2.328548,0.525512
2.315438,0.534902
2.371053,0.514181
2.366071,0.536116
2.346557,0.564669
2.405969,0.513558
2.367475,0.596797
2.425721,0.535875
2.410086,0.572335
2.450888,0.557178
2.464247,0.539066
2.474892,0.540047
2.469548,0.572175
2.491924,0.565063
2.513771,0.569582
2.517428,0.554364
2.567097,0.528468
2.550093,0.577224
2.569403,0.577654
2.629861,0.545071
2.613097,0.549923
2.675059,0.534547
2.676108,0.539231
2.678141,0.550260
2.705221,0.565587
2.708782,0.551245
2.742139,0.523016
2.747623,0.546714
2.753613,0.490418
2.763959,0.516022
2.811235,0.543407
2.814113,0.523884
2.815539,0.494964
2.839969,0.581898
2.838946,0.507527
2.853701,0.507414
2.883604,0.590981
2.907985,0.579896
2.938869,0.569541
2.978850,0.531292
3.010134,0.509746
3.048110,0.518113
3.057058,0.483790
3.071394,0.504999
3.087930,0.493987
3.123433,0.517868
3.114865,0.480002
3.131033,0.506944
3.143616,0.479069
3.163775,0.460481
3.202606,0.472586
3.215156,0.454091
3.216448,0.458412
3.230639,0.455890
3.242154,0.464125
3.293095,0.432695
3.297964,0.435831
3.261304,0.448866
3.349991,0.430319
3.371648,0.392048
3.278747,0.345547
3.133936,0.284047
3.102794,0.355484
3.199290,0.479094
3.246443,0.425861
3.215147,0.384084
3.275521,0.384353
3.244905,0.451262
3.326179,0.385791
3.332496,0.454436
3.370320,0.313708
3.353266,0.440516
3.402076,0.277617
3.429444,0.456031
3.440391,0.269485
3.426564,0.443700
3.492311,0.260780
3.468428,0.374618
3.499460,0.450903
3.572969,0.269749
3.544882,0.376634
3.602830,0.327307
3.658877,0.277975
3.690867,0.297594
3.683356,0.314941
3.716731,0.334469
3.708111,0.311709
3.731725,0.428755
3.758208,0.409185
3.754355,0.424043
3.764606,0.396766
3.807016,0.475548
3.797791,0.442432
3.822212,0.407741
3.800252,0.310767
3.857034,0.297301
3.873509,0.361548
3.835483,0.268997
3.788631,0.295372
3.842916,0.348305
3.844717,0.309113
3.809558,0.348158
3.780992,0.272503
3.857263,0.324753
3.871005,0.277130
3.887597,0.302804
3.848820,0.293515
3.899690,0.275247
3.891381,0.380349
3.941409,0.408323
3.973087,0.429763
3.989138,0.364729
4.033356,0.430038
4.047016,0.353330
4.071820,0.372311
4.031342,0.245466
4.010795,0.204907
4.007036,0.229045
3.995477,0.251606
3.951084,0.217091
4.041253,0.278436
4.063762,0.430892
4.058165,0.458264
4.131351,0.439908
4.144337,0.355781
4.175383,0.411951
4.184001,0.374061
4.175702,0.360824
4.149233,0.339094
4.152375,0.247403
4.209212,0.249131
4.235848,0.262110
4.247023,0.339534
4.259225,0.227458
4.253550,0.232097
4.276734,0.255730
4.313467,0.293303
4.365329,0.410318
4.380682,0.234417
4.321514,0.370796
4.323455,0.425413
4.350179,0.291785
4.344764,0.357250
4.392783,0.330264
4.335428,0.289732
4.319360,0.343537
4.222972,0.392930
4.223971,0.585827
4.212111,0.403434
4.152770,0.440393
4.144595,0.529338
4.120546,0.328784
4.210257,0.649676
4.193579,0.430515
4.104104,0.426803
4.116581,0.525136
4.112685,0.264952
4.157342,0.361876
4.159059,0.424054
4.216234,0.312759
4.218668,0.339372
4.205260,0.461208
4.109702,0.319272
4.154692,0.388976
4.214655,0.445048
4.178947,0.411688
4.156321,0.499185
4.165242,0.427752
4.135411,0.524349
4.048501,0.487146
4.163666,0.465286
4.119233,0.307113
4.067259,0.441609
4.142360,0.354481
4.138671,0.304878
4.158119,0.438179
4.063804,0.419503
4.084756,0.425001
4.111691,0.330010
4.162125,0.568902
4.199703,0.383837
4.183473,0.369671
4.190572,0.449180
4.152450,0.446417
4.203645,0.310741
4.210914,0.374964
4.141891,0.477822
4.236875,0.378930
4.236411,0.482768
4.299144,0.503182
4.290133,0.383258
4.305563,0.495288
4.261020,0.335819
4.248534,0.364073
4.152716,0.327050
4.138506,0.526886
4.084191,0.386557
4.166407,0.437639
4.157552,0.368939
4.094062,0.435493
