velocity,cot
1.123989,3.960757
1.205772,0.682053
1.168155,0.488691
1.129742,1.132615
1.088517,1.362638
1.340351,0.286027
1.337575,1.142608
1.281871,1.177283
1.538661,0.366390
1.443251,0.955433
1.356267,1.164042
1.508205,0.268245
1.505722,1.185409
1.469505,0.774667
1.498633,0.297591
1.557963,1.095517
1.480175,0.954892
1.626556,0.260279
1.582585,0.776884
1.500697,1.132459
1.520697,0.508726
1.615259,0.874683
1.565132,0.777868
1.622840,0.867274
1.400323,0.644670
1.540818,0.350348
1.527403,0.758769
1.646541,0.358730
1.696483,0.808367
1.658445,0.956448
1.775488,0.318527
1.773006,0.756138
1.665817,0.660478
1.639821,0.805637
1.586009,0.322748
1.733273,0.694820
1.720276,0.993021
1.789440,0.360415
1.817048,0.700914
1.765645,0.736776
1.853327,0.422511
1.866275,0.717136
1.809186,0.645841
1.732532,0.373386
1.835280,0.630105
1.902130,0.769688
1.736179,0.413121
1.855921,0.702150
1.896872,0.657867
1.887712,0.297529
1.823187,0.623539
1.780409,0.608477
1.796169,0.765544
1.822100,0.483338
1.926445,0.755112
1.727673,0.796401
1.778259,0.330017
1.868531,0.683563
1.824611,0.682073
1.841253,0.560986
1.811214,0.588206
1.898610,0.604091
1.934614,0.745358
1.833617,0.645421
1.941858,0.573104
1.944420,0.582598
1.970030,0.560672
1.990155,0.615551
1.966977,0.512583
2.026948,0.704539
2.042516,0.542993
2.071272,0.594666
2.107190,0.623591
2.133552,0.534476
2.143164,0.607827
2.150468,0.601875
2.203446,0.639157
2.204187,0.565743
2.247581,0.564848
2.225941,0.594470
2.314830,0.528838
2.315441,0.508693
2.341941,0.498687
2.390065,0.486528
2.414898,0.449643
2.412219,0.565820
2.482962,0.523436
2.548867,0.417806
2.536872,0.378483
2.539639,0.394063
1.741050,0.565351
2.247037,0.230832
2.451005,0.573134
2.675905,0.693746
2.627493,0.319607
2.755418,0.596063
2.739717,0.440844
2.779819,0.484964
2.870708,0.524031
2.831136,0.436117
2.807856,0.481412
2.846961,0.493530
2.890681,0.487197
2.878248,0.450048
2.936849,0.533909
2.795149,0.364205
2.857401,0.467756
2.904407,0.468637
2.946831,0.472855
3.052237,0.476828
2.977980,0.317478
2.945155,0.277665
2.917586,0.248285
2.969802,0.431700
2.998906,0.274644
2.991143,0.270475
3.167928,0.413059
2.910552,0.480142
2.821475,0.534316
2.974473,0.421450
3.107838,0.202368
3.073429,0.353069
3.230841,0.524245
3.217436,0.443788
3.164134,0.333523
3.191475,0.337609
3.269282,0.365914
3.269948,0.424644
3.259032,0.358335
3.268486,0.334520
3.313337,0.440690
3.297700,0.369972
3.304603,0.251438
3.341416,0.463159
3.329816,0.361335
3.392929,0.149318
3.266065,0.350672
3.406691,0.475936
3.333692,0.450342
3.314004,0.234852
3.399603,0.415848
3.385057,0.418023
3.407547,0.264167
3.390510,0.279661
3.397042,0.354164
3.340641,0.256052
3.323654,0.324523
3.223976,0.519073
3.378259,0.417841
3.350734,0.238657
3.346847,0.502276
3.524168,0.411683
3.506470,0.229866
3.537697,0.408417
3.570252,0.249639
3.637530,0.426684
3.553860,0.191765
3.570375,0.388924
3.638281,0.254492
3.413365,0.402527
3.381380,0.348158
3.506187,0.401290
3.441729,0.287188
3.560486,0.351487
3.580081,0.368446
3.562511,0.252042
3.653266,0.270696
3.629597,0.308302
3.758873,0.271938
3.638468,0.320565
3.699893,0.300400
3.759715,0.257558
3.779263,0.236139
3.799669,0.333235
3.842338,0.342034
3.894301,0.274483
3.837000,0.273865
3.904730,0.265295
3.955720,0.214800
1.751462,1.073075
2.145833,0.625950
3.020653,0.504449
3.386426,0.442063
3.582560,0.267928
3.507822,0.311070
3.656677,0.331648
3.769449,0.299861
3.670164,0.319413
3.739255,0.362172
3.779331,0.341560
3.781194,0.277752
3.798436,0.253587
3.799340,0.354799
3.810233,0.271546
3.881252,0.378112
3.909516,0.419119
3.813256,0.340264
3.770840,0.523590
3.797024,0.552107
3.832267,0.564887
3.795704,0.330052
3.804089,0.480248
3.818145,0.470841
3.735356,0.584522
3.763461,0.631717
3.812900,0.332288
3.742976,0.392901
3.761571,0.384863
3.775272,0.369773
3.683698,0.442151
3.824152,0.420301
