frame,sim_time,current_vel,desired_vel
0,0.000000,0.000000,0.000000
1,0.080000,1.054433,0.500000
2,0.160000,1.418535,0.500000
3,0.240000,1.379544,0.500000
4,0.320000,1.485293,0.500000
5,0.400000,1.761718,0.500000
6,0.480001,2.074949,0.500000
7,0.560000,1.920150,0.511022
8,0.639999,1.829923,0.511022
9,0.020000,0.162786,0.511022
10,0.100000,1.162247,0.511022
11,0.180000,1.469086,0.511022
12,0.030000,0.252595,0.511022
13,0.110000,1.244324,0.522044
14,0.190000,1.286083,0.522044
15,0.270000,1.021177,0.522044
16,0.350000,0.962866,0.522044
17,0.430001,1.194643,0.522044
18,0.510001,1.199590,0.522044
19,0.589999,1.104580,0.533066
20,0.669998,1.293275,0.533066
21,0.749997,1.314114,0.533066
22,0.829996,1.211259,0.533066
23,0.909995,1.163231,0.533066
24,0.989994,1.367684,0.533066
25,1.069993,1.216524,0.533066
26,1.149992,1.189751,0.544088
27,1.229991,1.507586,0.544088
28,1.309990,1.238046,0.544088
29,1.389989,1.143920,0.544088
30,1.469988,1.420719,0.544088
31,1.549987,1.231978,0.544088
32,1.629986,1.146308,0.555110
33,1.709985,1.500393,0.555110
34,1.789984,1.252578,0.555110
35,1.869983,1.171056,0.555110
36,1.949982,1.422308,0.555110
37,2.029983,1.246361,0.555110
38,2.109987,1.195212,0.566132
39,2.189990,1.535100,0.566132
40,2.269994,1.292817,0.566132
41,2.349998,1.161041,0.566132
42,2.430001,1.375155,0.566132
43,2.510005,1.293451,0.566132
44,2.590009,1.196779,0.577154
45,2.670013,1.359156,0.577154
46,2.750016,1.352587,0.577154
47,2.830020,1.241813,0.577154
48,2.910024,1.201351,0.577154
49,2.990028,1.349445,0.577154
50,3.070031,1.186343,0.577154
51,3.150035,1.144238,0.588176
52,3.230039,1.393910,0.588176
53,3.310043,1.233675,0.588176
54,3.390046,1.115362,0.588176
55,3.470050,1.461203,0.588176
56,3.550054,1.212116,0.588176
57,3.630058,1.119249,0.599198
58,3.710061,1.420513,0.599198
59,3.790065,1.297467,0.599198
60,3.870069,1.120088,0.599198
61,3.950073,1.392426,0.599198
62,4.030073,1.266894,0.599198
63,4.110067,1.145690,0.610220
64,4.190061,1.458912,0.610220
65,4.270055,1.328205,0.610220
66,4.350049,1.184728,0.610220
67,4.430044,1.404081,0.610220
68,4.510038,1.312899,0.610220
69,4.590032,1.140687,0.621243
70,4.670026,1.289073,0.621243
71,4.750021,1.314520,0.621243
72,4.830015,1.238831,0.621243
73,4.910009,1.226641,0.621243
74,4.990003,1.404719,0.621243
75,5.069997,1.239123,0.621243
76,5.149992,1.190779,0.632265
77,5.229986,1.447789,0.632265
78,5.309980,1.238419,0.632265
79,5.389974,1.163963,0.632265
80,5.469968,1.462572,0.632265
81,5.549963,1.251778,0.632265
82,5.629957,1.154533,0.643287
83,5.709951,1.423392,0.643287
84,5.789945,1.232203,0.643287
85,5.869939,1.177847,0.643287
86,5.949934,1.457599,0.643287
87,6.029928,1.260394,0.643287
88,6.109922,1.197181,0.654309
89,6.189916,1.403784,0.654309
90,6.269910,1.320246,0.654309
91,6.349905,1.193420,0.654309
92,6.429899,1.367979,0.654309
93,6.509893,1.278830,0.654309
94,6.589887,1.186623,0.665331
95,6.669881,1.292814,0.665331
96,6.749876,1.333280,0.665331
97,6.829870,1.216419,0.665331
98,6.909864,1.198894,0.665331
99,6.989858,1.403895,0.665331
100,7.069852,1.241918,0.665331
101,7.149847,1.205103,0.676353
102,7.229841,1.496118,0.676353
103,7.309835,1.270915,0.676353
104,7.389829,1.190732,0.676353
105,7.469823,1.478647,0.676353
106,0.010000,0.009364,0.676353
107,0.090000,1.122554,0.687375
108,0.170000,1.245482,0.687375
109,0.250000,1.012959,0.687375
110,0.330000,0.963351,0.687375
111,0.410000,1.087349,0.687375
112,0.490001,1.301574,0.687375
113,0.570000,1.225554,0.698397
114,0.649999,1.242112,0.698397
115,0.729998,1.522307,0.698397
116,0.809997,1.319867,0.698397
117,0.889996,1.268430,0.698397
118,0.969995,1.571512,0.698397
119,1.049994,1.347592,0.709419
120,1.129993,1.264127,0.709419
121,1.209992,1.549792,0.709419
122,1.289991,1.331482,0.709419
123,1.369990,1.261262,0.709419
124,1.449988,1.539093,0.709419
125,1.529987,1.308694,0.709419
126,1.609986,1.275045,0.720441
127,1.689985,1.556852,0.720441
128,1.769984,1.384958,0.720441
129,1.849983,1.272337,0.720441
130,1.929982,1.509240,0.720441
131,2.009982,1.357912,0.720441
132,2.089986,1.280316,0.731463
133,2.169989,1.435804,0.731463
134,2.249993,1.373469,0.731463
135,2.329997,1.310958,0.731463
136,2.410001,1.359644,0.731463
137,2.490004,1.419117,0.731463
138,2.570008,1.319581,0.742485
139,2.650012,1.274794,0.742485
140,2.730016,1.511811,0.742485
141,2.810019,1.340307,0.742485
142,2.890023,1.268214,0.742485
143,2.970027,1.552574,0.742485
144,3.050030,1.331492,0.753507
145,3.130034,1.247391,0.753507
146,3.210038,1.520696,0.753507
147,3.290042,1.349364,0.753507
148,3.370045,1.237240,0.753507
149,3.450049,1.502815,0.753507
150,3.530053,1.314944,0.753507
151,3.610057,1.242899,0.764529
152,3.690060,1.518690,0.764529
153,3.770064,1.376419,0.764529
154,3.850068,1.250031,0.764529
155,3.930072,1.473698,0.764529
156,4.010074,1.376434,0.764529
157,4.090068,1.257268,0.775551
158,4.170063,1.413024,0.775551
159,4.250057,1.377639,0.775551
160,4.330051,1.299692,0.775551
161,4.410045,1.359973,0.775551
162,4.490039,1.444329,0.775551
163,4.570034,1.313784,0.786573
164,4.650028,1.275682,0.786573
165,4.730022,1.507817,0.786573
166,4.810016,1.353855,0.786573
167,4.890010,1.259189,0.786573
168,4.970005,1.538938,0.786573
169,5.049999,1.334861,0.797595
170,5.129993,1.247085,0.797595
171,5.209987,1.543079,0.797595
172,5.289981,1.374861,0.797595
173,5.369976,1.291120,0.797595
174,5.449970,1.544992,0.797595
175,5.529964,1.328984,0.797595
176,5.609958,1.267098,0.808617
177,5.689952,1.558619,0.808617
178,5.769947,1.432685,0.808617
179,5.849941,1.307443,0.808617
180,5.929935,1.526903,0.808617
181,6.009929,1.433111,0.808617
182,6.089923,1.289107,0.819639
183,6.169918,1.447595,0.819639
184,6.249912,1.417657,0.819639
185,6.329906,1.348153,0.819639
186,6.409900,1.438284,0.819639
187,6.489894,1.509877,0.819639
188,6.569889,1.363575,0.830661
189,6.649883,1.336892,0.830661
190,6.729877,1.593577,0.830661
191,6.809871,1.396158,0.830661
192,6.889865,1.347005,0.830661
193,6.969860,1.646537,0.830661
194,7.049854,1.390211,0.841683
195,7.129848,1.307556,0.841683
196,7.209842,1.598130,0.841683
197,7.289836,1.412374,0.841683
198,7.369831,1.328739,0.841683
199,7.449825,1.611739,0.841683
200,7.529819,1.372666,0.841683
201,0.070000,0.819483,0.852705
202,0.150000,0.638891,0.852705
203,0.230000,1.166034,0.852705
204,0.010000,0.102199,0.852705
205,0.090000,1.019930,0.852705
206,0.170000,1.388336,0.852705
207,0.020000,0.265929,0.863727
208,0.100000,0.890126,0.863727
209,0.180000,1.556925,0.863727
210,0.260000,1.508395,0.863727
211,0.340000,1.572195,0.863727
212,0.420000,1.577346,0.863727
213,0.500001,1.589736,0.874749
214,0.580000,1.635908,0.874749
215,0.659999,1.473951,0.874749
216,0.739998,1.593972,0.874749
217,0.819997,1.508032,0.874749
218,0.899996,1.419402,0.874749
219,0.979994,0.974135,0.885772
220,1.059994,0.966414,0.885772
221,1.139992,1.253779,0.885772
222,1.219991,1.190884,0.885772
223,1.299990,1.107843,0.885772
224,1.379989,1.595242,0.885772
225,1.459988,1.520162,0.885772
226,1.539987,1.365743,0.896794
227,1.619986,1.712116,0.896794
228,1.699985,1.467178,0.896794
229,1.779984,1.420026,0.896794
230,1.859983,1.661109,0.896794
231,1.939982,1.536659,0.896794
232,2.019982,1.338864,0.907816
233,2.099986,1.619340,0.907816
234,2.179990,1.514287,0.907816
235,2.259994,1.361713,0.907816
236,2.339997,1.546097,0.907816
237,2.420001,1.525621,0.907816
238,2.500005,1.400791,0.918838
239,2.580009,1.507413,0.918838
240,2.660012,1.582349,0.918838
241,2.740016,1.479709,0.918838
242,2.820020,1.456265,0.918838
243,2.900023,1.658230,0.918838
244,2.980027,1.458194,0.929860
245,3.060031,1.399583,0.929860
246,3.140035,1.700162,0.929860
247,3.220038,1.508487,0.929860
248,3.300042,1.399223,0.929860
249,3.380046,1.701348,0.929860
250,3.460050,1.453114,0.929860
251,3.540053,1.386010,0.940882
252,3.620057,1.695178,0.940882
253,3.700061,1.505225,0.940882
254,3.780065,1.424090,0.940882
255,3.860068,1.696180,0.940882
256,3.940072,1.528194,0.940882
257,4.020073,1.381177,0.951904
258,4.100068,1.656058,0.951904
259,4.180062,1.531597,0.951904
260,4.260056,1.428814,0.951904
261,4.340050,1.620694,0.951904
262,4.420044,1.599913,0.951904
263,4.500039,1.437997,0.962926
264,4.580033,1.487094,0.962926
265,4.660027,1.588956,0.962926
266,4.740021,1.491132,0.962926
267,4.820015,1.475915,0.962926
268,4.900010,1.708103,0.962926
269,4.980004,1.496431,0.973948
270,5.059998,1.397616,0.973948
271,5.139992,1.694622,0.973948
272,5.219986,1.551432,0.973948
273,5.299981,1.368132,0.973948
274,5.379975,1.693619,0.973948
275,5.459969,1.488701,0.973948
276,5.539963,1.398690,0.984970
277,5.619957,1.685227,0.984970
278,5.699952,1.547240,0.984970
