frame,sim_time,current_vel,desired_vel
0,0.000000,0.000000,0.000000
1,0.080000,0.792128,0.100000
2,0.160000,1.628028,0.100000
3,0.240000,1.739346,0.100000
4,0.320000,1.689253,0.100000
5,0.030000,0.006547,0.100000
6,0.110000,1.041038,0.100000
7,0.190000,1.763274,0.200000
8,0.270000,1.695074,0.200000
9,0.350000,1.605525,0.200000
10,0.430001,1.836106,0.200000
11,0.510001,0.693473,0.200000
12,0.589999,0.637799,0.200000
13,0.000000,0.024570,0.100000
14,0.080000,0.316462,0.100000
15,0.010000,0.031081,0.100000
16,0.090000,0.986439,0.100000
17,0.170000,1.603710,0.100000
18,0.250000,1.589221,0.100000
19,0.330000,1.541192,0.200000
20,0.020000,0.091166,0.100000
21,0.100000,0.596661,0.100000
22,0.180000,1.610317,0.100000
23,0.260000,1.576232,0.100000
24,0.340000,1.534543,0.100000
25,0.010000,0.041825,0.100000
26,0.090000,0.533218,0.200000
27,0.170000,0.815547,0.200000
28,0.030000,0.232157,0.100000
29,0.110000,0.841153,0.100000
30,0.010000,0.008611,0.100000
31,0.090000,0.431131,0.100000
32,0.170000,0.620789,0.200000
33,0.050000,0.379849,0.100000
34,0.130000,1.370224,0.100000
35,0.210000,1.673278,0.100000
36,0.290000,1.677476,0.100000
37,0.370000,1.651896,0.100000
38,0.060000,0.078942,0.200000
39,0.140000,0.428653,0.200000
40,0.010000,0.033150,0.100000
41,0.090000,0.678086,0.100000
42,0.170000,1.625907,0.100000
43,0.250000,1.772665,0.100000
44,0.330000,1.648319,0.200000
45,0.000000,0.008828,0.100000
46,0.080000,0.649722,0.100000
47,0.160000,1.563590,0.100000
48,0.240000,1.725610,0.100000
49,0.320000,1.716243,0.100000
50,0.000000,0.013673,0.100000
51,0.080000,0.436412,0.200000
52,0.160000,1.410653,0.200000
53,0.240000,1.417445,0.200000
54,0.320000,1.412497,0.200000
55,0.040000,0.151377,0.100000
56,0.120000,0.512809,0.100000
57,0.200000,0.717100,0.200000
58,0.060000,0.360480,0.100000
59,0.140000,0.717074,0.100000
60,0.000000,0.023603,0.100000
61,0.080000,0.305536,0.100000
62,0.160000,0.426384,0.100000
